Insult/Quote,Topic,TEXT,Play,Act,Scene
Quote,funny,Thou sodden-witted lord! thou hast no more brain than I have in mine elbows.,Troilus And Cressida,2,1
Quote,funny,"I do bite my thumb, sir.",Romeo And Juliet,1,1
Quote,funny,Would thou wert clean enough to spit upon!,Timon Of Athens,4,3
Quote,funny,"Go, prick thy face and over-red thy fear, / Thou lily-livered boy.",Macbeth,5,3
Quote,funny,I do desire we may be better strangers.,As You Like It,3,2
Quote,funny,There’s no more faith in thee than in a stewed prune.,Henry IV,3,3
Quote,funny,"Thou whoreson zed, thou unnecessary letter!",King Lear,2,2
Quote,funny,You are not worth another word else I’d call you knave.,All'S Well That Ends Well,2,3
Quote,funny,You Banbury cheese!,Merry Wives Of Windsor,1,1
Quote,funny,I am sick when I do look on thee.,A Midsummer Night'S Dream,2,1
Quote,friendship,"But where there is true friendship, there needs none.",Timon Of Athens,1,2
Quote,friendship,The band that seems to tie their friendship together will be the very strangler of their amity.,Antony And Cleopatra,2,6
Quote,friendship,That which I would discover / The law of friendship bids me to conceal.,Two Gentlemen Of Verona,3,1
Quote,friendship,Friendship is constant in all other things / Save in the office and affairs of love.,Much Ado About Nothing,2,1
Quote,friendship,Thy friendship makes us fresh.,Henry IV,3,3
Quote,friendship,Keep thy friend / Under thy own life’s key.,All'S Well That Ends Well,1,1
Quote ,friendship,I count myself in nothing else so happy / As in a soul remembering my good friends.,Richard III,2,3
Quote,friendship,"Most friendship is feigning, most loving is folly.",As You Like It,2,7
Quote,friendship,There is flattery in friendship.,Henry IV,3,7
Quote,love,The course of true love never did run smooth.,A Midsummer Night'S Dream,1,1
Quote,love,"If music be the food of love, play on.",Twelfth Night,1,1
Quote,love,"Speak low, if you speak love.",Much Ado About Nothing,2,1
Quote,love,The sight of lovers feedeth those in love.,As You Like It,2,4
Quote,love,There’s beggary in the love that can be reckoned.,Antony And Cleopatra,1,1
Quote,love,"A heart to love, and in that heart / Courage, to make’s love known.",Macbeth,2,3
Quote,love,"Love sought, is good; but given unsought, is better.",Twelfth Night,3,1
